1,1,Fall,2000,11,5,1
501,1,Fall,2012,7,4,6
1001,1,Spring,2014,11,6,4
502,1,Fall,2003,19,4,9
502,2,Fall,2009,19,6,16
503,1,Fall,2008,19,1,15
503,2,Spring,2012,19,6,14
504,1,Fall,2000,18,25,16
505,1,Fall,2012,19,9,6
506,1,Fall,2005,7,6,2
507,1,Fall,2010,11,5,1
507,2,Spring,2009,11,4,15
508,1,Fall,2013,18,3,15
508,2,Fall,2014,18,7,1
509,1,Spring,2005,19,7,6
509,2,Spring,2015,19,8,16
510,1,Fall,2010,11,3,11
511,1,Fall,2009,18,27,14
511,2,Fall,2005,18,16,2
512,1,Fall,2014,10,10,8
513,1,Fall,2013,10,9,10
514,1,Fall,2002,7,14,8
514,2,Fall,2012,7,9,7
515,1,Spring,2007,10,6,3
516,1,Fall,2012,19,1,9
517,1,Spring,2013,7,16,6
517,2,Spring,2000,7,14,16
518,1,Spring,2009,11,4,1
518,2,Spring,2008,11,2,5
519,1,Fall,2006,18,8,12
519,2,Spring,2011,18,19,6
520,1,Spring,2007,19,4,9
520,2,Fall,2008,19,11,1
521,1,Spring,2006,2,1,11
521,2,Fall,2015,2,5,16
522,1,Fall,2009,7,8,12
523,1,Fall,2007,10,5,16
524,1,Spring,2008,2,3,16
525,1,Fall,2006,18,22,7
526,1,Fall,2012,10,2,9
526,2,Fall,2006,10,12,16
527,1,Fall,2006,18,7,1
527,2,Spring,2015,18,13,1
528,1,Spring,2011,2,4,16
529,1,Spring,2011,10,7,1
529,2,Spring,2012,10,10,4
530,1,Fall,2004,2,3,13
530,2,Fall,2000,2,3,6
531,1,Spring,2012,2,2,8
532,1,Spring,2009,2,6,8
533,1,Fall,2009,18,8,10
534,1,Fall,2000,18,27,7
535,1,Fall,2007,2,3,4
536,1,Fall,2000,11,1,3
536,2,Spring,2007,11,4,9
537,1,Spring,2010,2,6,3
537,2,Spring,2000,2,3,8
538,1,Spring,2015,2,4,15
539,1,Fall,2015,2,6,2
540,1,Spring,2004,7,15,6
1501,1,Fall,2007,7,13,8
541,1,Spring,2002,10,1,3
