18,1,18
18,2,143
18,3,102
18,4,199
18,5,135
18,6,67
18,7,84
18,8,176
18,9,93
18,10,54
18,11,179
18,12,174
18,13,186
18,14,19
18,15,57
18,16,144
18,17,78
18,18,142
18,19,128
18,20,84
18,21,30
18,22,85
18,23,167
18,24,110
18,25,71
18,26,169
18,27,24
18,28,122
11,1,16
11,2,176
11,3,63
11,4,151
11,5,149
11,6,58
11,7,186
2,1,183
2,2,82
2,3,18
2,4,25
2,5,160
2,6,165
2,7,69
7,1,163
7,2,171
7,3,199
7,4,52
7,5,91
7,6,161
7,7,40
7,8,135
7,9,141
7,10,67
7,11,139
7,12,23
7,13,180
7,14,96
7,15,79
7,16,54
7,17,130
7,18,174
7,19,149
7,20,74
19,1,170
19,2,182
19,3,70
19,4,184
19,5,173
19,6,156
19,7,113
19,8,56
19,9,169
19,10,26
19,11,80
19,12,138
19,13,140
10,1,140
10,2,182
10,3,191
10,4,191
10,5,98
10,6,180
10,7,35
10,8,100
10,9,156
10,10,31
10,11,178
10,12,165
10,13,17
10,14,108
