9020001,1,1,Fall,2000,B
9020001,501,1,Fall,2012,A
9020001,1001,1,Spring,2014,C
9020001,502,1,Fall,2003,A
9020001,502,2,Fall,2009,B
9012501,503,1,Fall,2008,B
9012501,503,2,Spring,2012,B
9012501,504,1,Fall,2000,D
9012501,505,1,Fall,2012,D
9012501,506,1,Fall,2005,A
9012501,507,1,Fall,2010,D
9007501,507,2,Spring,2009,D
9010001,508,1,Fall,2013,D
9010001,508,2,Fall,2014,E
9010001,509,1,Spring,2005,A
9010001,509,2,Spring,2015,C
9010001,510,1,Fall,2010,B
9000001,511,1,Fall,2009,E
9000001,511,2,Fall,2005,E
9000001,512,1,Fall,2014,A
9000001,513,1,Fall,2013,A
9000001,514,1,Fall,2002,A
9015002,514,2,Fall,2012,B
9015002,515,1,Spring,2007,D
9015002,516,1,Fall,2012,B
9022503,517,1,Spring,2013,A
9022503,517,2,Spring,2000,A
9022503,518,1,Spring,2009,B
9022503,518,2,Spring,2008,D
9017501,1,1,Fall,2000,D
9022506,519,1,Fall,2006,A
9017501,501,1,Fall,2012,B
9022506,519,2,Spring,2011,A
9017501,1001,1,Spring,2014,E
9017501,502,1,Fall,2003,E
9022506,520,1,Spring,2007,A
9022507,1,1,Fall,2000,E
9017501,502,2,Fall,2009,B
9022506,520,2,Fall,2008,E
9022507,501,1,Fall,2012,D
9022506,521,1,Spring,2006,B
9022507,1001,1,Spring,2014,D
9022506,521,2,Fall,2015,D
9022509,502,1,Fall,2003,C
9022510,522,1,Fall,2009,C
9022509,502,2,Fall,2009,D
9022510,523,1,Fall,2007,A
9022509,503,1,Fall,2008,A
9022510,524,1,Spring,2008,E
9022509,503,2,Spring,2012,D
9022511,525,1,Fall,2006,C
9022512,504,1,Fall,2000,B
9022513,526,1,Fall,2012,C
9022512,505,1,Fall,2012,E
9022513,526,2,Fall,2006,E
9022512,506,1,Fall,2005,C
9022513,527,1,Fall,2006,E
9022512,507,1,Fall,2010,B
9022512,507,2,Spring,2009,E
9022514,527,2,Spring,2015,D
9022514,528,1,Spring,2011,B
9022515,508,1,Fall,2013,A
9022515,508,2,Fall,2014,C
9022514,529,1,Spring,2011,E
9022515,509,1,Spring,2005,C
9022516,529,2,Spring,2012,E
9022515,509,2,Spring,2015,D
9022516,530,1,Fall,2004,D
9022516,530,2,Fall,2000,E
9022517,510,1,Fall,2010,D
9022516,531,1,Spring,2012,D
9022517,511,1,Fall,2009,A
9022516,532,1,Spring,2009,D
9022518,511,2,Fall,2005,A
9022516,533,1,Fall,2009,E
9022518,512,1,Fall,2014,E
9022519,534,1,Fall,2000,E
9022519,535,1,Fall,2007,A
9022520,513,1,Fall,2013,A
9022521,536,1,Fall,2000,E
9022522,514,1,Fall,2002,D
9022521,536,2,Spring,2007,E
9022522,514,2,Fall,2012,D
9022521,537,1,Spring,2010,E
9022522,515,1,Spring,2007,C
9022521,537,2,Spring,2000,A
9022522,516,1,Fall,2012,B
9022523,538,1,Spring,2015,C
9022522,517,1,Spring,2013,A
9022523,539,1,Fall,2015,E
9022524,517,2,Spring,2000,D
9022523,540,1,Spring,2004,A
9022524,518,1,Spring,2009,B
9022523,1501,1,Fall,2007,A
9022524,518,2,Spring,2008,C
9022524,519,1,Fall,2006,D
9022525,541,1,Spring,2002,D
9022524,519,2,Spring,2011,C
9022526,541,2,Spring,2006,E
9022526,542,1,Fall,2003,A
9022527,520,1,Spring,2007,B
9022527,520,2,Fall,2008,E
9022528,543,1,Fall,2013,D
9022527,521,1,Spring,2006,C
9022529,2501,1,Fall,2000,E
9022527,521,2,Fall,2015,C
9022527,522,1,Fall,2009,D
9022529,2501,2,Fall,2010,E
9022529,2502,1,Spring,2010,E
9022530,523,1,Fall,2007,C
9022530,524,1,Spring,2008,D
9022529,2503,1,Fall,2006,E
9022529,2503,2,Fall,2015,C
9022530,525,1,Fall,2006,A
9022530,526,1,Fall,2012,C
9022531,2504,1,Spring,2012,D
9022530,526,2,Fall,2006,B
9022531,2505,1,Spring,2010,C
9022531,2506,1,Spring,2002,E
9022532,527,1,Fall,2006,B
9022533,2506,2,Fall,2005,E
9022532,527,2,Spring,2015,B
9022533,2507,1,Spring,2006,B
9022532,528,1,Spring,2011,E
9022533,2508,1,Spring,2007,D
9022532,529,1,Spring,2011,E
9022533,2509,1,Spring,2013,C
9022532,529,2,Spring,2012,C
9022534,2510,1,Spring,2008,B
9022535,530,1,Fall,2004,C
9022534,2511,1,Fall,2009,E
9022535,530,2,Fall,2000,E
9022534,2511,2,Spring,2012,C
9022535,531,1,Spring,2012,E
9022534,2512,1,Fall,2005,E
9022535,532,1,Spring,2009,A
9022534,2512,2,Spring,2000,E
9022536,533,1,Fall,2009,A
9022537,2513,1,Fall,2013,A
9022537,2514,1,Fall,2011,D
9022537,2514,2,Fall,2015,A
9022536,534,1,Fall,2000,D
9022537,2515,1,Fall,2012,E
9022536,535,1,Fall,2007,D
9022538,2515,2,Fall,2015,B
9022536,536,1,Fall,2000,A
9022538,2516,1,Fall,2007,C
9022536,536,2,Spring,2007,C
9022538,2517,1,Spring,2014,C
9022539,537,1,Spring,2010,A
9022540,2517,2,Spring,2010,B
9022539,537,2,Spring,2000,D
9022540,2518,1,Fall,2008,E
