198,1,1,Fall,2000
401,501,1,Fall,2012
23,1001,1,Spring,2014
23,502,1,Fall,2003
35,502,2,Fall,2009
692,503,1,Fall,2008
706,503,2,Spring,2012
116,504,1,Fall,2000
39,505,1,Fall,2012
825,506,1,Fall,2005
109,507,1,Fall,2010
275,507,2,Spring,2009
843,508,1,Fall,2013
220,508,2,Fall,2014
244,509,1,Spring,2005
711,509,2,Spring,2015
440,510,1,Fall,2010
491,511,1,Fall,2009
541,511,2,Fall,2005
53,512,1,Fall,2014
461,513,1,Fall,2013
119,514,1,Fall,2002
419,514,2,Fall,2012
487,515,1,Spring,2007
82,516,1,Fall,2012
440,517,1,Spring,2013
233,517,2,Spring,2000
960,518,1,Spring,2009
180,518,2,Spring,2008
464,519,1,Fall,2006
893,519,2,Spring,2011
370,520,1,Spring,2007
460,520,2,Fall,2008
829,521,1,Spring,2006
327,521,2,Fall,2015
75,522,1,Fall,2009
775,523,1,Fall,2007
187,524,1,Spring,2008
907,525,1,Fall,2006
603,526,1,Fall,2012
141,526,2,Fall,2006
521,527,1,Fall,2006
202,527,2,Spring,2015
508,528,1,Spring,2011
159,529,1,Spring,2011
215,529,2,Spring,2012
487,530,1,Fall,2004
129,530,2,Fall,2000
528,531,1,Spring,2012
989,532,1,Spring,2009
837,533,1,Fall,2009
219,534,1,Fall,2000
397,535,1,Fall,2007
814,536,1,Fall,2000
941,536,2,Spring,2007
561,537,1,Spring,2010
707,537,2,Spring,2000
731,538,1,Spring,2015
556,539,1,Fall,2015
289,540,1,Spring,2004
832,1501,1,Fall,2007
671,541,1,Spring,2002
194,541,2,Spring,2006
743,542,1,Fall,2003
56,543,1,Fall,2013
878,2501,1,Fall,2000
847,2501,2,Fall,2010
753,2502,1,Spring,2010
976,2503,1,Fall,2006
125,2503,2,Fall,2015
677,2504,1,Spring,2012
54,2505,1,Spring,2010
308,2506,1,Spring,2002
630,2506,2,Fall,2005
172,2507,1,Spring,2006
37,2508,1,Spring,2007
49,2509,1,Spring,2013
159,2510,1,Spring,2008
655,2511,1,Fall,2009
330,2511,2,Spring,2012
158,2512,1,Fall,2005
762,2512,2,Spring,2000
770,2513,1,Fall,2013
456,2514,1,Fall,2011
774,2514,2,Fall,2015
842,2515,1,Fall,2012
123,2515,2,Fall,2015
318,2516,1,Fall,2007
348,2517,1,Spring,2014
973,2517,2,Spring,2010
820,2518,1,Fall,2008
740,2519,1,Fall,2010
68,2520,1,Fall,2013
200,2521,1,Fall,2011
434,2522,1,Fall,2009
59,2523,1,Spring,2013
255,2524,1,Spring,2000
221,2524,2,Spring,2013
97,2525,1,Spring,2015
373,2525,2,Spring,2014
265,2526,1,Spring,2009
173,2527,1,Spring,2012
856,2527,2,Spring,2001
551,2528,1,Fall,2011
94,2529,1,Fall,2015
982,2530,1,Spring,2001
754,2531,1,Fall,2011
198,2531,2,Spring,2000
163,2532,1,Spring,2002
433,2533,1,Spring,2013
436,2534,1,Spring,2015
51,2535,1,Fall,2002
324,2535,2,Spring,2015
665,2536,1,Fall,2006
616,3001,1,Fall,2004
518,2537,1,Spring,2006
228,2537,2,Spring,2003
378,2538,1,Spring,2010
82,3002,1,Spring,2002
851,2539,1,Spring,2013
587,2539,2,Fall,2007
743,3003,1,Fall,2005
111,2540,1,Spring,2013
231,2540,2,Fall,2005
221,3004,1,Spring,2001
507,3501,1,Fall,2014
384,3501,2,Spring,2013
609,2001,1,Spring,2011
412,2001,2,Spring,2007
783,3502,1,Spring,2008
741,3502,2,Spring,2003
131,3503,1,Fall,2015
272,3503,2,Fall,2001
340,3504,1,Fall,2007
552,3504,2,Fall,2009
373,3505,1,Spring,2003
991,3505,2,Fall,2013
101,3506,1,Spring,2006
513,3506,2,Fall,2004
241,3507,1,Spring,2007
499,3508,1,Fall,2005
535,2002,1,Spring,2011
258,2003,1,Spring,2006
182,2003,2,Spring,2008
792,2004,1,Fall,2011
819,2005,1,Fall,2002
372,2005,2,Spring,2015
213,2006,1,Spring,2008
538,2007,1,Spring,2007
848,2007,2,Spring,2001
43,2008,1,Fall,2008
204,2008,2,Spring,2009
297,2009,1,Fall,2010
258,2010,1,Spring,2002
60,2011,1,Fall,2009
426,2012,1,Fall,2010
122,2012,2,Fall,2008
49,2013,1,Spring,2000
550,2014,1,Spring,2003
462,2014,2,Spring,2000
885,2015,1,Fall,2007
587,2015,2,Spring,2015
674,2016,1,Spring,2001
344,2017,1,Spring,2003
618,2017,2,Fall,2008
557,2018,1,Fall,2006
649,2019,1,Fall,2009
857,2020,1,Spring,2007
968,2020,2,Fall,2001
680,2021,1,Spring,2015
611,2022,1,Spring,2005
238,2023,1,Spring,2009
107,2024,1,Fall,2009
361,2024,2,Fall,2003
194,2025,1,Fall,2015
638,2026,1,Fall,2012
730,2027,1,Fall,2000
434,2028,1,Fall,2015
452,2029,1,Spring,2009
543,2029,2,Fall,2001
805,2030,1,Fall,2003
794,2030,2,Spring,2000
955,2031,1,Fall,2014
823,2031,2,Fall,2014
772,2032,1,Spring,2005
149,2032,2,Fall,2008
800,2033,1,Spring,2013
248,2034,1,Fall,2002
663,2034,2,Fall,2005
606,2035,1,Fall,2006
995,2035,2,Spring,2012
591,2036,1,Spring,2009
480,2036,2,Spring,2011
678,2037,1,Fall,2015
247,2037,2,Fall,2001
859,2038,1,Fall,2001
802,2038,2,Spring,2001
246,2039,1,Spring,2002
438,2040,1,Spring,2002
441,2041,1,Spring,2000
761,2042,1,Spring,2014
875,2043,1,Fall,2006
812,2044,1,Spring,2003
951,2044,2,Fall,2003
648,2045,1,Fall,2002
970,2046,1,Fall,2010
976,2047,1,Spring,2011
121,2047,2,Fall,2006
441,2048,1,Spring,2002
902,2049,1,Spring,2003
126,2050,1,Spring,2000
997,2051,1,Fall,2005
656,544,1,Spring,2001
404,544,2,Spring,2013
